
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-19.387146  
 2    	0.0587    	-19.384338  
 3    	0.1173    	-19.367491  
 4    	0.1760    	-19.371399  
 5    	0.2346    	-19.394470  
 6    	0.2933    	-19.346130  
 7    	0.3519    	-19.335508  
 8    	0.4106    	-19.411314  
 9    	0.4692    	-19.446655  
 10   	0.5279    	-19.441589  
 11   	0.5865    	-19.409056  
 12   	0.6452    	-19.410156  
 13   	0.7038    	-19.500000  
 14   	0.7625    	-19.495544  
 15   	0.8211    	-19.429260  
 16   	0.8798    	-19.391663  
 17   	0.9384    	-19.378174  
 18   	0.9971    	-19.398375  
 19   	1.0557    	-19.330442  
 20   	1.1144    	-19.283812  
 21   	1.1730    	-19.265318  
 22   	1.2317    	-19.213072  
 23   	1.2903    	-19.295593  
 24   	1.3490    	-19.231627  
 25   	1.4076    	-19.194519  
 26   	1.4663    	-19.167603  
 27   	1.5249    	-19.232178  
 28   	1.5836    	-19.276550  
 29   	1.6422    	-19.242247  
 30   	1.7009    	-19.280457  
 31   	1.7595    	-19.215879  
 32   	1.8182    	-19.284361  
 33   	1.8768    	-19.226561  
 34   	1.9355    	-19.293394  
 35   	1.9941    	-19.223204  
 36   	2.0528    	-19.236633  
 37   	2.1114    	-19.227112  
 38   	2.1701    	-19.268677  
 39   	2.2287    	-19.219788  
 40   	2.2874    	-19.230469  
 41   	2.3460    	-19.193420  
 42   	2.4047    	-19.214170  
 43   	2.4633    	-19.227112  
 44   	2.5220    	-19.256287  
 45   	2.5806    	-19.229919  
 46   	2.6393    	-19.288877  
 47   	2.6979    	-19.119322  
 48   	2.7566    	-19.163635  
 49   	2.8152    	-19.183289  
 50   	2.8739    	-19.256287  
 51   	2.9326    	-19.272583  
 52   	2.9912    	-19.300110  
 53   	3.0499    	-19.270935  
 54   	3.1085    	-19.256895  
 55   	3.1672    	-19.244505  
 56   	3.2258    	-19.221495  
 57   	3.2845    	-19.201294  
 58   	3.3431    	-19.190613  
 59   	3.4018    	-19.244505  
 60   	3.4604    	-19.252378  
 61   	3.5191    	-19.243408  
 62   	3.5777    	-19.226561  
 63   	3.6364    	-19.159729  
 64   	3.6950    	-19.114256  
 65   	3.7537    	-19.133362  
 66   	3.8123    	-18.990723  
 67   	3.8710    	-18.996336  
 68   	3.9296    	-18.900879  
 69   	3.9883    	-18.945251  
 70   	4.0469    	-18.738037  
 71   	4.1056    	-18.735229  
 72   	4.1642    	-18.733519  
 73   	4.2229    	-18.751524  
 74   	4.2815    	-18.735229  
 75   	4.3402    	-18.766663  
 76   	4.3988    	-18.709959  
 77   	4.4575    	-18.686340  
 78   	4.5161    	-18.701538  
 79   	4.5748    	-18.654907  
 80   	4.6334    	-18.665586  
 81   	4.6921    	-18.671753  
 82   	4.7507    	-18.593689  
 83   	4.8094    	-18.553282  
 84   	4.8680    	-18.519590  
 85   	4.9267    	-18.388733  
 86   	4.9853    	-18.264097  
 87   	5.0440    	-18.237122  
 88   	5.1026    	-18.137207  
 89   	5.1613    	-17.939514  
 90   	5.2199    	-17.836241  
 91   	5.2786    	-17.545349  
 92   	5.3372    	-17.165771  
 93   	5.3959    	-16.803040  
