
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-19.979004  
 2    	0.0060    	-19.958191  
 3    	0.0120    	-19.930725  
 4    	0.0180    	-19.955383  
 5    	0.0240    	-19.963806  
 6    	0.0300    	-19.899841  
 7    	0.0360    	-19.888000  
 8    	0.0420    	-19.941343  
 9    	0.0480    	-19.930725  
 10   	0.0540    	-20.008726  
 11   	0.0600    	-20.007629  
 12   	0.0660    	-20.024473  
 13   	0.0720    	-20.069397  
 14   	0.0780    	-20.040222  
 15   	0.0840    	-20.001465  
 16   	0.0900    	-19.909361  
 17   	0.0960    	-19.940794  
 18   	0.1020    	-19.928467  
 19   	0.1080    	-19.924500  
 20   	0.1140    	-19.941956  
 21   	0.1200    	-19.929565  
 22   	0.1260    	-19.880186  
 23   	0.1320    	-19.889709  
 24   	0.1380    	-19.906006  
 25   	0.1440    	-19.903748  
 26   	0.1500    	-19.945313  
 27   	0.1560    	-20.012695  
 28   	0.1620    	-19.984617  
 29   	0.1680    	-20.016050  
 30   	0.1740    	-19.921692  
 31   	0.1800    	-19.987425  
 32   	0.1860    	-20.095213  
 33   	0.1920    	-20.123838  
 34   	0.1980    	-20.145203  
 35   	0.2040    	-20.090147  
 36   	0.2100    	-20.062681  
 37   	0.2160    	-20.043030  
 38   	0.2220    	-20.021666  
 39   	0.2280    	-20.014954  
 40   	0.2340    	-20.004822  
 41   	0.2400    	-20.017149  
 42   	0.2460    	-20.005920  
 43   	0.2520    	-20.113220  
 44   	0.2580    	-20.050840  
 45   	0.2640    	-20.087339  
 46   	0.2700    	-20.038513  
 47   	0.2760    	-20.119934  
 48   	0.2820    	-20.124451  
 49   	0.2880    	-20.076721  
 50   	0.2940    	-20.091856  
 51   	0.3000    	-20.127808  
 52   	0.3060    	-20.114319  
 53   	0.3120    	-20.110413  
 54   	0.3180    	-20.076721  
 55   	0.3240    	-20.049744  
 56   	0.3300    	-20.114319  
 57   	0.3360    	-20.095764  
 58   	0.3420    	-20.091309  
 59   	0.3480    	-20.081177  
 60   	0.3540    	-20.081724  
 61   	0.3600    	-20.063231  
 62   	0.3660    	-20.046936  
 63   	0.3720    	-20.074463  
 64   	0.3780    	-20.119385  
 65   	0.3840    	-20.110962  
 66   	0.3900    	-20.113770  
 67   	0.3960    	-20.131163  
 68   	0.4020    	-20.077820  
 69   	0.4080    	-20.106445  
 70   	0.4140    	-20.039612  
 71   	0.4200    	-20.066038  
 72   	0.4260    	-20.047485  
 73   	0.4320    	-20.017761  
 74   	0.4380    	-19.960999  
 75   	0.4440    	-19.937988  
 76   	0.4500    	-19.993040  
 77   	0.4560    	-19.970581  
 78   	0.4620    	-20.005371  
 79   	0.4680    	-20.023376  
 80   	0.4740    	-20.041321  
 81   	0.4800    	-20.003113  
 82   	0.4860    	-20.018858  
 83   	0.4920    	-20.037415  
 84   	0.4980    	-20.139587  
 85   	0.5041    	-20.182251  
 86   	0.5101    	-20.096375  
 87   	0.5161    	-20.061522  
 88   	0.5221    	-20.089048  
 89   	0.5281    	-20.077271  
 90   	0.5341    	-20.101988  
 91   	0.5401    	-20.028990  
 92   	0.5461    	-20.140686  
 93   	0.5521    	-20.092955  
