
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-19.654966  
 2    	0.0587    	-19.662842  
 3    	0.1173    	-19.644897  
 4    	0.1760    	-19.666199  
 5    	0.2346    	-19.648254  
 6    	0.2933    	-19.642090  
 7    	0.3519    	-19.646544  
 8    	0.4106    	-19.666807  
 9    	0.4692    	-19.633116  
 10   	0.5279    	-19.687012  
 11   	0.5865    	-19.644348  
 12   	0.6452    	-19.660034  
 13   	0.7038    	-19.616272  
 14   	0.7625    	-19.666199  
 15   	0.8211    	-19.697691  
 16   	0.8798    	-19.658384  
 17   	0.9384    	-19.671265  
 18   	0.9971    	-19.757202  
 19   	1.0557    	-19.704956  
 20   	1.1144    	-19.699890  
 21   	1.1730    	-19.745422  
 22   	1.2317    	-19.731382  
 23   	1.2903    	-19.718445  
 24   	1.3490    	-19.734739  
 25   	1.4076    	-19.726318  
 26   	1.4663    	-19.729673  
 27   	1.5249    	-19.831846  
 28   	1.5836    	-19.682495  
 29   	1.6422    	-19.730774  
 30   	1.7009    	-19.668457  
 31   	1.7595    	-19.599976  
 32   	1.8182    	-19.616821  
 33   	1.8768    	-19.692625  
 34   	1.9355    	-19.613464  
 35   	1.9941    	-19.624693  
 36   	2.0528    	-19.599976  
 37   	2.1114    	-19.585936  
 38   	2.1701    	-19.548279  
 39   	2.2287    	-19.475889  
 40   	2.2874    	-19.378174  
 41   	2.3460    	-19.229919  
 42   	2.4047    	-19.110899  
 43   	2.4633    	-19.108093  
 44   	2.5220    	-19.135557  
 45   	2.5806    	-19.025511  
 46   	2.6393    	-19.007017  
 47   	2.6979    	-19.000793  
 48   	2.7566    	-19.023865  
 49   	2.8152    	-19.005859  
 50   	2.8739    	-19.063721  
 51   	2.9326    	-19.001951  
 52   	2.9912    	-19.050781  
 53   	3.0499    	-19.005310  
 54   	3.1085    	-19.101316  
 55   	3.1672    	-19.111448  
 56   	3.2258    	-18.996885  
 57   	3.2845    	-19.017639  
 58   	3.3431    	-19.012024  
 59   	3.4018    	-19.058655  
 60   	3.4604    	-19.190613  
 61   	3.5191    	-19.187805  
 62   	3.5777    	-19.167603  
 63   	3.6364    	-19.129944  
 64   	3.6950    	-19.221495  
 65   	3.7537    	-19.155212  
 66   	3.8123    	-19.221495  
 67   	3.8710    	-19.289978  
 68   	3.9296    	-19.383789  
 69   	3.9883    	-19.450621  
 70   	4.0469    	-19.329893  
 71   	4.1056    	-19.289978  
 72   	4.1642    	-19.279907  
 73   	4.2229    	-19.323118  
 74   	4.2815    	-19.386597  
 75   	4.3402    	-19.307983  
 76   	4.3988    	-19.341124  
 77   	4.4575    	-19.314148  
 78   	4.5161    	-19.265869  
 79   	4.5748    	-19.252928  
 80   	4.6334    	-19.314148  
 81   	4.6921    	-19.217590  
 82   	4.7507    	-19.215879  
 83   	4.8094    	-19.195679  
 84   	4.8680    	-19.227661  
 85   	4.9267    	-19.288330  
 86   	4.9853    	-19.312439  
 87   	5.0440    	-19.282166  
 88   	5.1026    	-19.311890  
 89   	5.1613    	-19.348389  
 90   	5.2199    	-19.412964  
 91   	5.2786    	-19.411314  
 92   	5.3372    	-19.455627  
 93   	5.3959    	-19.379822  
