
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-19.342224  
 2    	0.0587    	-19.292786  
 3    	0.1173    	-19.209717  
 4    	0.1760    	-19.183289  
 5    	0.2346    	-19.238892  
 6    	0.2933    	-19.281553  
 7    	0.3519    	-19.266418  
 8    	0.4106    	-19.344482  
 9    	0.4692    	-19.336609  
 10   	0.5279    	-19.309082  
 11   	0.5865    	-19.275391  
 12   	0.6452    	-19.343933  
 13   	0.7038    	-19.300659  
 14   	0.7625    	-19.308533  
 15   	0.8211    	-19.346741  
 16   	0.8798    	-19.277649  
 17   	0.9384    	-19.301817  
 18   	0.9971    	-19.283812  
 19   	1.0557    	-19.276550  
 20   	1.1144    	-19.260803  
 21   	1.1730    	-19.303467  
 22   	1.2317    	-19.339966  
 23   	1.2903    	-19.330992  
 24   	1.3490    	-19.231018  
 25   	1.4076    	-19.249023  
 26   	1.4663    	-19.273743  
 27   	1.5249    	-19.297302  
 28   	1.5836    	-19.279907  
 29   	1.6422    	-19.342773  
 30   	1.7009    	-19.269226  
 31   	1.7595    	-19.259703  
 32   	1.8182    	-19.291136  
 33   	1.8768    	-19.166443  
 34   	1.9355    	-19.260252  
 35   	1.9941    	-19.212524  
 36   	2.0528    	-19.143982  
 37   	2.1114    	-19.088989  
 38   	2.1701    	-19.158020  
 39   	2.2287    	-19.045715  
 40   	2.2874    	-18.985657  
 41   	2.3460    	-18.895813  
 42   	2.4047    	-18.863220  
 43   	2.4633    	-18.756531  
 44   	2.5220    	-18.751524  
 45   	2.5806    	-18.711060  
 46   	2.6393    	-18.700989  
 47   	2.6979    	-18.740843  
 48   	2.7566    	-18.696472  
 49   	2.8152    	-18.688049  
 50   	2.8739    	-18.600462  
 51   	2.9326    	-18.597107  
 52   	2.9912    	-18.690857  
 53   	3.0499    	-18.686340  
 54   	3.1085    	-18.785215  
 55   	3.1672    	-18.735229  
 56   	3.2258    	-18.688049  
 57   	3.2845    	-18.735779  
 58   	3.3431    	-18.780699  
 59   	3.4018    	-18.815491  
 60   	3.4604    	-18.834595  
 61   	3.5191    	-18.789673  
 62   	3.5777    	-18.795288  
 63   	3.6364    	-18.903687  
 64   	3.6950    	-18.895262  
 65   	3.7537    	-18.832947  
 66   	3.8123    	-18.849180  
 67   	3.8710    	-18.836853  
 68   	3.9296    	-18.835754  
 69   	3.9883    	-18.941833  
 70   	4.0469    	-18.818298  
 71   	4.1056    	-18.760498  
 72   	4.1642    	-18.808777  
 73   	4.2229    	-18.966553  
 74   	4.2815    	-19.043516  
 75   	4.3402    	-18.989012  
 76   	4.3988    	-18.949707  
 77   	4.4575    	-18.900879  
 78   	4.5161    	-18.884581  
 79   	4.5748    	-18.950867  
 80   	4.6334    	-18.909302  
 81   	4.6921    	-18.865479  
 82   	4.7507    	-18.884033  
 83   	4.8094    	-18.851990  
 84   	4.8680    	-18.797546  
 85   	4.9267    	-18.892454  
 86   	4.9853    	-18.868835  
 87   	5.0440    	-18.837950  
 88   	5.1026    	-18.948608  
 89   	5.1613    	-18.867737  
 90   	5.2199    	-18.901428  
 91   	5.2786    	-18.932312  
 92   	5.3372    	-18.899170  
 93   	5.3959    	-18.830139  
