
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-24.318420  
 2    	0.0587    	-24.322388  
 3    	0.1173    	-24.340881  
 4    	0.1760    	-24.386414  
 5    	0.2346    	-24.260620  
 6    	0.2933    	-24.291504  
 7    	0.3519    	-24.213989  
 8    	0.4106    	-24.220762  
 9    	0.4692    	-24.265686  
 10   	0.5279    	-24.279722  
 11   	0.5865    	-24.211729  
 12   	0.6452    	-24.205015  
 13   	0.7038    	-24.198853  
 14   	0.7625    	-24.147156  
 15   	0.8211    	-24.120789  
 16   	0.8798    	-24.089905  
 17   	0.9384    	-24.087645  
 18   	0.9971    	-24.078125  
 19   	1.0557    	-24.066345  
 20   	1.1144    	-24.106749  
 21   	1.1730    	-24.103943  
 22   	1.2317    	-24.004578  
 23   	1.2903    	-24.036560  
 24   	1.3490    	-24.048887  
 25   	1.4076    	-24.040464  
 26   	1.4663    	-24.087095  
 27   	1.5249    	-24.084290  
 28   	1.5836    	-24.059568  
 29   	1.6422    	-24.161194  
 30   	1.7009    	-24.115173  
 31   	1.7595    	-24.072510  
 32   	1.8182    	-24.104492  
 33   	1.8768    	-24.061279  
 34   	1.9355    	-23.997801  
 35   	1.9941    	-23.988281  
 36   	2.0528    	-24.067444  
 37   	2.1114    	-24.052856  
 38   	2.1701    	-24.085386  
 39   	2.2287    	-24.067993  
 40   	2.2874    	-24.022520  
 41   	2.3460    	-24.064085  
 42   	2.4047    	-23.972532  
 43   	2.4633    	-24.007933  
 44   	2.5220    	-24.024780  
 45   	2.5806    	-23.996153  
 46   	2.6393    	-24.041626  
 47   	2.6979    	-24.074158  
 48   	2.7566    	-24.103394  
 49   	2.8152    	-24.044432  
 50   	2.8739    	-24.030396  
 51   	2.9326    	-24.088196  
 52   	2.9912    	-24.033751  
 53   	3.0499    	-24.000061  
 54   	3.1085    	-23.976500  
 55   	3.1672    	-24.010742  
 56   	3.2258    	-24.055662  
 57   	3.2845    	-24.074158  
 58   	3.3431    	-24.039366  
 59   	3.4018    	-24.109558  
 60   	3.4604    	-23.915283  
 61   	3.5191    	-23.880432  
 62   	3.5777    	-23.845091  
 63   	3.6364    	-23.808592  
 64   	3.6950    	-23.810240  
 65   	3.7537    	-23.794554  
 66   	3.8123    	-23.854065  
 67   	3.8710    	-23.764771  
 68   	3.9296    	-23.805235  
 69   	3.9883    	-23.716490  
 70   	4.0469    	-23.574400  
 71   	4.1056    	-23.589048  
 72   	4.1642    	-23.554747  
 73   	4.2229    	-23.541870  
 74   	4.2815    	-23.477295  
 75   	4.3402    	-23.503111  
 76   	4.3988    	-23.522215  
 77   	4.4575    	-23.502562  
 78   	4.5161    	-23.475584  
 79   	4.5748    	-23.400330  
 80   	4.6334    	-23.395325  
 81   	4.6921    	-23.395325  
 82   	4.7507    	-23.310484  
 83   	4.8094    	-23.239197  
 84   	4.8680    	-23.167297  
 85   	4.9267    	-23.098267  
 86   	4.9853    	-22.983154  
 87   	5.0440    	-22.884888  
 88   	5.1026    	-22.875305  
 89   	5.1613    	-22.750120  
 90   	5.2199    	-22.618164  
 91   	5.2786    	-22.318846  
 92   	5.3372    	-21.958921  
 93   	5.3959    	-21.429382  
