
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-20.719664  
 2    	0.0587    	-20.647215  
 3    	0.1173    	-20.521973  
 4    	0.1760    	-20.544983  
 5    	0.2346    	-20.539976  
 6    	0.2933    	-20.504026  
 7    	0.3519    	-20.554016  
 8    	0.4106    	-20.472593  
 9    	0.4692    	-20.474792  
 10   	0.5279    	-20.478760  
 11   	0.5865    	-20.478760  
 12   	0.6452    	-20.473145  
 13   	0.7038    	-20.571959  
 14   	0.7625    	-20.525940  
 15   	0.8211    	-20.530943  
 16   	0.8798    	-20.474792  
 17   	0.9384    	-20.530394  
 18   	0.9971    	-20.387756  
 19   	1.0557    	-20.359131  
 20   	1.1144    	-20.414734  
 21   	1.1730    	-20.359680  
 22   	1.2317    	-20.328796  
 23   	1.2903    	-20.395630  
 24   	1.3490    	-20.439453  
 25   	1.4076    	-20.415831  
 26   	1.4663    	-20.465820  
 27   	1.5249    	-20.400146  
 28   	1.5836    	-20.357481  
 29   	1.6422    	-20.335571  
 30   	1.7009    	-20.295105  
 31   	1.7595    	-20.291748  
 32   	1.8182    	-20.296265  
 33   	1.8768    	-20.228333  
 34   	1.9355    	-20.276609  
 35   	1.9941    	-20.258057  
 36   	2.0528    	-20.190125  
 37   	2.1114    	-20.182800  
 38   	2.1701    	-20.210876  
 39   	2.2287    	-20.266479  
 40   	2.2874    	-20.301880  
 41   	2.3460    	-20.349060  
 42   	2.4047    	-20.290649  
 43   	2.4633    	-20.256407  
 44   	2.5220    	-20.307495  
 45   	2.5806    	-20.222717  
 46   	2.6393    	-20.285032  
 47   	2.6979    	-20.322632  
 48   	2.7566    	-20.386656  
 49   	2.8152    	-20.362488  
 50   	2.8739    	-20.354065  
 51   	2.9326    	-20.304138  
 52   	2.9912    	-20.320982  
 53   	3.0499    	-20.388914  
 54   	3.1085    	-20.397337  
 55   	3.1672    	-20.313658  
 56   	3.2258    	-20.266479  
 57   	3.2845    	-20.290098  
 58   	3.3431    	-20.298523  
 59   	3.4018    	-20.282225  
 60   	3.4604    	-20.181152  
 61   	3.5191    	-20.291199  
 62   	3.5777    	-20.281675  
 63   	3.6364    	-20.288940  
 64   	3.6950    	-20.291199  
 65   	3.7537    	-20.215393  
 66   	3.8123    	-20.223267  
 67   	3.8710    	-20.231689  
 68   	3.9296    	-20.224365  
 69   	3.9883    	-20.116028  
 70   	4.0469    	-19.963806  
 71   	4.1056    	-19.959900  
 72   	4.1642    	-19.805479  
 73   	4.2229    	-19.765076  
 74   	4.2815    	-19.677429  
 75   	4.3402    	-19.749329  
 76   	4.3988    	-19.827393  
 77   	4.4575    	-19.831297  
 78   	4.5161    	-19.850403  
 79   	4.5748    	-19.786377  
 80   	4.6334    	-19.694275  
 81   	4.6921    	-19.725769  
 82   	4.7507    	-19.706665  
 83   	4.8094    	-19.639282  
 84   	4.8680    	-19.507324  
 85   	4.9267    	-19.438231  
 86   	4.9853    	-19.391663  
 87   	5.0440    	-19.304016  
 88   	5.1026    	-19.238892  
 89   	5.1613    	-19.145689  
 90   	5.2199    	-18.871643  
 91   	5.2786    	-18.626829  
 92   	5.3372    	-18.237730  
 93   	5.3959    	-17.611631  
