
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-1.929932   
 2    	0.0587    	-1.881653   
 3    	0.1173    	-1.862549   
 4    	0.1760    	-1.801330   
 5    	0.2346    	-1.854675   
 6    	0.2933    	-1.856933   
 7    	0.3519    	-1.830017   
 8    	0.4106    	-1.846863   
 9    	0.4692    	-1.827209   
 10   	0.5279    	-1.753601   
 11   	0.5865    	-1.745789   
 12   	0.6452    	-1.782288   
 13   	0.7038    	-1.779480   
 14   	0.7625    	-1.738464   
 15   	0.8211    	-1.763733   
 16   	0.8798    	-1.769348   
 17   	0.9384    	-1.790710   
 18   	0.9971    	-1.794067   
 19   	1.0557    	-1.815979   
 20   	1.1144    	-1.830566   
 21   	1.1730    	-1.744629   
 22   	1.2317    	-1.746887   
 23   	1.2903    	-1.690185   
 24   	1.3490    	-1.653137   
 25   	1.4076    	-1.628418   
 26   	1.4663    	-1.676147   
 27   	1.5249    	-1.681763   
 28   	1.5836    	-1.707581   
 29   	1.6422    	-1.654236   
 30   	1.7009    	-1.640198   
 31   	1.7595    	-1.706482   
 32   	1.8182    	-1.677795   
 33   	1.8768    	-1.623901   
 34   	1.9355    	-1.606506   
 35   	1.9941    	-1.617737   
 36   	2.0528    	-1.636292   
 37   	2.1114    	-1.599182   
 38   	2.1701    	-1.600342   
 39   	2.2287    	-1.663208   
 40   	2.2874    	-1.625061   
 41   	2.3460    	-1.675598   
 42   	2.4047    	-1.660950   
 43   	2.4633    	-1.646362   
 44   	2.5220    	-1.591919   
 45   	2.5806    	-1.576721   
 46   	2.6393    	-1.617737   
 47   	2.6979    	-1.613220   
 48   	2.7566    	-1.659851   
 49   	2.8152    	-1.615479   
 50   	2.8739    	-1.595276   
 51   	2.9326    	-1.526184   
 52   	2.9912    	-1.520020   
 53   	3.0499    	-1.521728   
 54   	3.1085    	-1.518372   
 55   	3.1672    	-1.508789   
 56   	3.2258    	-1.530701   
 57   	3.2845    	-1.526184   
 58   	3.3431    	-1.580139   
 59   	3.4018    	-1.603149   
 60   	3.4604    	-1.565491   
 61   	3.5191    	-1.505981   
 62   	3.5777    	-1.500366   
 63   	3.6364    	-1.426819   
 64   	3.6950    	-1.390869   
 65   	3.7537    	-1.431885   
 66   	3.8123    	-1.282532   
 67   	3.8710    	-1.388061   
 68   	3.9296    	-1.329102   
 69   	3.9883    	-1.353821   
 70   	4.0469    	-1.146606   
 71   	4.1056    	-1.100586   
 72   	4.1642    	-1.046692   
 73   	4.2229    	-0.980408   
 74   	4.2815    	-0.940552   
 75   	4.3402    	-0.904602   
 76   	4.3988    	-0.912476   
 77   	4.4575    	-0.823730   
 78   	4.5161    	-0.847351   
 79   	4.5748    	-0.915833   
 80   	4.6334    	-0.932129   
 81   	4.6921    	-0.861938   
 82   	4.7507    	-0.796814   
 83   	4.8094    	-0.778809   
 84   	4.8680    	-0.790039   
 85   	4.9267    	-0.681702   
 86   	4.9853    	-0.610352   
 87   	5.0440    	-0.503662   
 88   	5.1026    	-0.366638   
 89   	5.1613    	-0.234131   
 90   	5.2199    	0.012390    
 91   	5.2786    	0.287537    
 92   	5.3372    	0.797913    
 93   	5.3959    	1.230896    
