
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-70.554260  
 2    	0.0587    	-70.769897  
 3    	0.1173    	-70.051140  
 4    	0.1760    	-70.410522  
 5    	0.2346    	-70.051140  
 6    	0.2933    	-70.841736  
 7    	0.3519    	-70.841736  
 8    	0.4106    	-70.051140  
 9    	0.4692    	-69.548035  
 10   	0.5279    	-70.482361  
 11   	0.5865    	-69.763611  
 12   	0.6452    	-70.266785  
 13   	0.7038    	-69.619865  
 14   	0.7625    	-70.769897  
 15   	0.8211    	-69.979248  
 16   	0.8798    	-69.979248  
 17   	0.9384    	-69.979248  
 18   	0.9971    	-69.619865  
 19   	1.0557    	-69.476128  
 20   	1.1144    	-69.619865  
 21   	1.1730    	-69.691772  
 22   	1.2317    	-70.841736  
 23   	1.2903    	-70.194885  
 24   	1.3490    	-70.626152  
 25   	1.4076    	-70.697998  
 26   	1.4663    	-70.338623  
 27   	1.5249    	-69.907410  
 28   	1.5836    	-70.051140  
 29   	1.6422    	-70.338623  
 30   	1.7009    	-69.476128  
 31   	1.7595    	-70.122986  
 32   	1.8182    	-68.541748  
 33   	1.8768    	-69.260498  
 34   	1.9355    	-68.901123  
 35   	1.9941    	-69.404236  
 36   	2.0528    	-69.691772  
 37   	2.1114    	-69.619865  
 38   	2.1701    	-70.122986  
 39   	2.2287    	-69.404236  
 40   	2.2874    	-69.404236  
 41   	2.3460    	-68.541748  
 42   	2.4047    	-69.835510  
 43   	2.4633    	-69.044853  
 44   	2.5220    	-69.332397  
 45   	2.5806    	-69.476128  
 46   	2.6393    	-69.979248  
 47   	2.6979    	-70.482361  
 48   	2.7566    	-70.913635  
 49   	2.8152    	-69.619865  
 50   	2.8739    	-69.907410  
 51   	2.9326    	-68.541748  
 52   	2.9912    	-70.410522  
 53   	3.0499    	-69.763611  
 54   	3.1085    	-70.626152  
 55   	3.1672    	-69.907410  
 56   	3.2258    	-70.338623  
 57   	3.2845    	-70.338623  
 58   	3.3431    	-69.835510  
 59   	3.4018    	-68.757385  
 60   	3.4604    	-67.966736  
 61   	3.5191    	-68.685486  
 62   	3.5777    	-69.404236  
 63   	3.6364    	-69.619865  
 64   	3.6950    	-69.691772  
 65   	3.7537    	-70.122986  
 66   	3.8123    	-70.410522  
 67   	3.8710    	-70.122986  
 68   	3.9296    	-70.122986  
 69   	3.9883    	-69.691772  
 70   	4.0469    	-69.116760  
 71   	4.1056    	-69.260498  
 72   	4.1642    	-68.685486  
 73   	4.2229    	-69.691772  
 74   	4.2815    	-69.404236  
 75   	4.3402    	-69.691772  
 76   	4.3988    	-69.835510  
 77   	4.4575    	-69.835510  
 78   	4.5161    	-70.194885  
 79   	4.5748    	-69.188660  
 80   	4.6334    	-69.404236  
 81   	4.6921    	-68.901123  
 82   	4.7507    	-68.469910  
 83   	4.8094    	-68.613647  
 84   	4.8680    	-69.116760  
 85   	4.9267    	-68.469910  
 86   	4.9853    	-67.966736  
 87   	5.0440    	-68.613647  
 88   	5.1026    	-68.469910  
 89   	5.1613    	-69.044853  
 90   	5.2199    	-69.116760  
 91   	5.2786    	-68.757385  
 92   	5.3372    	-68.398010  
 93   	5.3959    	-69.691772  
