
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-27.615662  
 2    	0.0587    	-28.190674  
 3    	0.1173    	-27.975035  
 4    	0.1760    	-27.471922  
 5    	0.2346    	-27.975035  
 6    	0.2933    	-27.903196  
 7    	0.3519    	-27.400084  
 8    	0.4106    	-27.328186  
 9    	0.4692    	-27.040710  
 10   	0.5279    	-27.256287  
 11   	0.5865    	-27.040710  
 12   	0.6452    	-27.184448  
 13   	0.7038    	-26.968813  
 14   	0.7625    	-27.256287  
 15   	0.8211    	-27.040710  
 16   	0.8798    	-26.465698  
 17   	0.9384    	-27.256287  
 18   	0.9971    	-26.896912  
 19   	1.0557    	-26.106325  
 20   	1.1144    	-26.393799  
 21   	1.1730    	-26.393799  
 22   	1.2317    	-25.603210  
 23   	1.2903    	-25.675049  
 24   	1.3490    	-26.106325  
 25   	1.4076    	-25.746946  
 26   	1.4663    	-26.034424  
 27   	1.5249    	-24.956297  
 28   	1.5836    	-25.531311  
 29   	1.6422    	-25.387573  
 30   	1.7009    	-26.609434  
 31   	1.7595    	-27.256287  
 32   	1.8182    	-27.040710  
 33   	1.8768    	-27.687561  
 34   	1.9355    	-28.262571  
 35   	1.9941    	-28.334410  
 36   	2.0528    	-26.681335  
 37   	2.1114    	-26.609434  
 38   	2.1701    	-27.040710  
 39   	2.2287    	-27.256287  
 40   	2.2874    	-27.184448  
 41   	2.3460    	-28.118835  
 42   	2.4047    	-28.046936  
 43   	2.4633    	-28.118835  
 44   	2.5220    	-28.046936  
 45   	2.5806    	-27.831301  
 46   	2.6393    	-27.831301  
 47   	2.6979    	-28.190674  
 48   	2.7566    	-27.256287  
 49   	2.8152    	-26.968813  
 50   	2.8739    	-27.256287  
 51   	2.9326    	-27.687561  
 52   	2.9912    	-27.615662  
 53   	3.0499    	-27.615662  
 54   	3.1085    	-27.543823  
 55   	3.1672    	-27.256287  
 56   	3.2258    	-27.400084  
 57   	3.2845    	-27.256287  
 58   	3.3431    	-27.903196  
 59   	3.4018    	-27.400084  
 60   	3.4604    	-27.615662  
 61   	3.5191    	-27.040710  
 62   	3.5777    	-27.184448  
 63   	3.6364    	-26.178164  
 64   	3.6950    	-25.890686  
 65   	3.7537    	-26.321960  
 66   	3.8123    	-25.890686  
 67   	3.8710    	-27.112549  
 68   	3.9296    	-26.609434  
 69   	3.9883    	-26.609434  
 70   	4.0469    	-26.321960  
 71   	4.1056    	-25.962585  
 72   	4.1642    	-25.675049  
 73   	4.2229    	-25.818785  
 74   	4.2815    	-25.603210  
 75   	4.3402    	-26.034424  
 76   	4.3988    	-26.393799  
 77   	4.4575    	-26.393799  
 78   	4.5161    	-26.178164  
 79   	4.5748    	-26.393799  
 80   	4.6334    	-26.537537  
 81   	4.6921    	-26.393799  
 82   	4.7507    	-27.112549  
 83   	4.8094    	-27.903196  
 84   	4.8680    	-27.543823  
 85   	4.9267    	-27.831301  
 86   	4.9853    	-27.184448  
 87   	5.0440    	-26.896912  
 88   	5.1026    	-27.256287  
 89   	5.1613    	-27.471922  
 90   	5.2199    	-28.118835  
 91   	5.2786    	-28.621948  
 92   	5.3372    	-27.975035  
 93   	5.3959    	-27.759460  
