
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-41.487549  
 2    	0.0587    	-42.134460  
 3    	0.1173    	-41.775085  
 4    	0.1760    	-41.703186  
 5    	0.2346    	-41.487549  
 6    	0.2933    	-41.271912  
 7    	0.3519    	-41.631287  
 8    	0.4106    	-41.487549  
 9    	0.4692    	-41.487549  
 10   	0.5279    	-41.343811  
 11   	0.5865    	-41.128174  
 12   	0.6452    	-41.128174  
 13   	0.7038    	-41.703186  
 14   	0.7625    	-41.775085  
 15   	0.8211    	-42.134460  
 16   	0.8798    	-42.350037  
 17   	0.9384    	-41.343811  
 18   	0.9971    	-42.493835  
 19   	1.0557    	-42.062561  
 20   	1.1144    	-41.846924  
 21   	1.1730    	-40.984436  
 22   	1.2317    	-41.271912  
 23   	1.2903    	-40.121948  
 24   	1.3490    	-40.768799  
 25   	1.4076    	-40.409424  
 26   	1.4663    	-40.553162  
 27   	1.5249    	-41.559448  
 28   	1.5836    	-41.487549  
 29   	1.6422    	-40.912537  
 30   	1.7009    	-41.631287  
 31   	1.7595    	-41.415710  
 32   	1.8182    	-42.206299  
 33   	1.8768    	-40.984436  
 34   	1.9355    	-41.415710  
 35   	1.9941    	-42.134460  
 36   	2.0528    	-42.134460  
 37   	2.1114    	-42.781311  
 38   	2.1701    	-42.565674  
 39   	2.2287    	-42.781311  
 40   	2.2874    	-42.350037  
 41   	2.3460    	-41.846924  
 42   	2.4047    	-42.493835  
 43   	2.4633    	-42.134460  
 44   	2.5220    	-41.775085  
 45   	2.5806    	-42.350037  
 46   	2.6393    	-42.206299  
 47   	2.6979    	-41.703186  
 48   	2.7566    	-41.703186  
 49   	2.8152    	-42.206299  
 50   	2.8739    	-41.559448  
 51   	2.9326    	-41.990662  
 52   	2.9912    	-41.631287  
 53   	3.0499    	-41.128174  
 54   	3.1085    	-41.631287  
 55   	3.1672    	-42.278198  
 56   	3.2258    	-41.343811  
 57   	3.2845    	-41.775085  
 58   	3.3431    	-41.343811  
 59   	3.4018    	-40.696960  
 60   	3.4604    	-41.415710  
 61   	3.5191    	-41.846924  
 62   	3.5777    	-42.781311  
 63   	3.6364    	-42.134460  
 64   	3.6950    	-41.343811  
 65   	3.7537    	-41.990662  
 66   	3.8123    	-41.487549  
 67   	3.8710    	-41.990662  
 68   	3.9296    	-41.775085  
 69   	3.9883    	-41.631287  
 70   	4.0469    	-41.487549  
 71   	4.1056    	-42.062561  
 72   	4.1642    	-41.918823  
 73   	4.2229    	-41.703186  
 74   	4.2815    	-42.278198  
 75   	4.3402    	-42.206299  
 76   	4.3988    	-41.846924  
 77   	4.4575    	-42.134460  
 78   	4.5161    	-42.062561  
 79   	4.5748    	-41.559448  
 80   	4.6334    	-42.278198  
 81   	4.6921    	-42.709412  
 82   	4.7507    	-42.493835  
 83   	4.8094    	-42.278198  
 84   	4.8680    	-42.493835  
 85   	4.9267    	-42.565674  
 86   	4.9853    	-42.421936  
 87   	5.0440    	-42.062561  
 88   	5.1026    	-41.128174  
 89   	5.1613    	-41.703186  
 90   	5.2199    	-41.775085  
 91   	5.2786    	-41.703186  
 92   	5.3372    	-41.775085  
 93   	5.3959    	-41.128174  
