
      	X(nS)     	Ch1(mV)      	Ch2(mV)      	Ch3(mV)      	Ch4(mV)      


 1    	0.0000    	-82.158752  	-5.063232   	-21.239624  	112.937500  
 2    	0.0587    	-82.086906  	-4.611755   	-20.697632  	85.562500   
 3    	0.1173    	-82.230652  	-5.127747   	-21.036377  	44.187500   
 4    	0.1760    	-82.949402  	-5.514771   	-21.713867  	413.812500  
 5    	0.2346    	-83.380608  	-6.288757   	-21.171875  	515.562500  
 6    	0.2933    	-82.805656  	-5.837219   	-21.510620  	265.187500  
 7    	0.3519    	-82.805656  	-5.321228   	-20.697632  	136.687500  
 8    	0.4106    	-82.877502  	-5.256775   	-20.494385  	391.437500  
 9    	0.4692    	-82.661858  	-5.708252   	-20.968628  	579.812500  
 10   	0.5279    	-82.805656  	-5.514771   	-20.562134  	362.187500  
 11   	0.5865    	-82.015007  	-5.708252   	-20.765381  	132.562500  
 12   	0.6452    	-82.230652  	-5.901733   	-21.375122  	322.437500  
 13   	0.7038    	-82.015007  	-5.708252   	-20.833130  	567.812500  
 14   	0.7625    	-81.583733  	-5.192261   	-20.629883  	436.937500  
 15   	0.8211    	-82.015007  	-4.805237   	-20.291138  	151.937500  
 16   	0.8798    	-81.727531  	-5.256775   	-21.239624  	259.312500  
 17   	0.9384    	-81.655632  	-5.579224   	-20.494385  	541.187500  
 18   	0.9971    	-81.727531  	-6.288757   	-20.833130  	508.062500  
 19   	1.0557    	-82.949402  	-5.837219   	-20.833130  	194.687500  
 20   	1.1144    	-82.805656  	-6.224243   	-20.968628  	201.937500  
 21   	1.1730    	-83.380608  	-6.095276   	-21.171875  	488.937500  
 22   	1.2317    	-83.452507  	-5.772766   	-21.239624  	551.312500  
 23   	1.2903    	-83.596245  	-5.643738   	-21.510620  	269.187500  
 24   	1.3490    	-83.236877  	-5.708252   	-21.442871  	163.687500  
 25   	1.4076    	-82.374382  	-5.321228   	-21.375122  	442.687500  
 26   	1.4663    	-82.302483  	-5.385742   	-20.765381  	572.437500  
 27   	1.5249    	-82.805656  	-5.772766   	-21.104126  	328.812500  
 28   	1.5836    	-83.955620  	-5.901733   	-21.713867  	143.937500  
 29   	1.6422    	-83.308769  	-5.708252   	-21.442871  	365.062500  
 30   	1.7009    	-83.021233  	-6.095276   	-21.307373  	585.937500  
 31   	1.7595    	-83.596245  	-5.579224   	-20.494385  	406.562500  
 32   	1.8182    	-83.668144  	-5.643738   	-20.765381  	155.062500  
 33   	1.8768    	-82.949402  	-5.450256   	-20.358887  	282.062500  
 34   	1.9355    	-83.165031  	-4.998779   	-20.223389  	568.062500  
 35   	1.9941    	-83.308769  	-5.256775   	-19.681396  	476.562500  
 36   	2.0528    	-83.739983  	-5.256775   	-20.155640  	185.562500  
 37   	2.1114    	-82.877502  	-5.127747   	-20.291138  	214.437500  
 38   	2.1701    	-81.871277  	-5.063232   	-19.749146  	521.937500  
 39   	2.2287    	-82.877502  	-4.869751   	-20.494385  	540.812500  
 40   	2.2874    	-83.524406  	-4.740723   	-21.307373  	206.187500  
 41   	2.3460    	-83.596245  	-6.159729   	-21.036377  	262.312500  
 42   	2.4047    	-83.093132  	-6.353271   	-20.426636  	486.437500  
