
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-137.837158 
 2    	0.0587    	-137.405945 
 3    	0.1173    	-137.118408 
 4    	0.1760    	-137.837158 
 5    	0.2346    	-137.837158 
 6    	0.2933    	-137.118408 
 7    	0.3519    	-136.543457 
 8    	0.4106    	-137.334045 
 9    	0.4692    	-137.549683 
 10   	0.5279    	-138.699707 
 11   	0.5865    	-138.052795 
 12   	0.6452    	-137.621582 
 13   	0.7038    	-137.477783 
 14   	0.7625    	-138.412170 
 15   	0.8211    	-138.484070 
 16   	0.8798    	-138.052795 
 17   	0.9384    	-137.549683 
 18   	0.9971    	-138.268433 
 19   	1.0557    	-138.340332 
 20   	1.1144    	-138.196533 
 21   	1.1730    	-137.262207 
 22   	1.2317    	-137.405945 
 23   	1.2903    	-137.477783 
 24   	1.3490    	-137.262207 
 25   	1.4076    	-137.980957 
 26   	1.4663    	-138.771545 
 27   	1.5249    	-137.621582 
 28   	1.5836    	-137.549683 
 29   	1.6422    	-137.190308 
 30   	1.7009    	-137.405945 
 31   	1.7595    	-136.759033 
 32   	1.8182    	-137.621582 
 33   	1.8768    	-137.837158 
 34   	1.9355    	-137.334045 
 35   	1.9941    	-137.909058 
 36   	2.0528    	-138.555908 
 37   	2.1114    	-138.484070 
 38   	2.1701    	-138.340332 
 39   	2.2287    	-138.843430 
 40   	2.2874    	-138.124695 
 41   	2.3460    	-136.974655 
 42   	2.4047    	-137.334045 
 43   	2.4633    	-137.980957 
 44   	2.5220    	-138.555908 
 45   	2.5806    	-138.268433 
 46   	2.6393    	-138.268433 
 47   	2.6979    	-138.340332 
 48   	2.7566    	-137.693420 
 49   	2.8152    	-138.268433 
 50   	2.8739    	-138.699707 
 51   	2.9326    	-138.052795 
 52   	2.9912    	-138.124695 
 53   	3.0499    	-138.627808 
 54   	3.1085    	-137.909058 
 55   	3.1672    	-137.334045 
 56   	3.2258    	-137.405945 
 57   	3.2845    	-137.621582 
 58   	3.3431    	-137.837158 
 59   	3.4018    	-137.262207 
 60   	3.4604    	-137.118408 
 61   	3.5191    	-137.262207 
 62   	3.5777    	-136.830933 
 63   	3.6364    	-136.255920 
 64   	3.6950    	-137.118408 
 65   	3.7537    	-137.693420 
 66   	3.8123    	-136.974655 
 67   	3.8710    	-138.484070 
 68   	3.9296    	-137.980957 
 69   	3.9883    	-138.268433 
 70   	4.0469    	-137.549683 
 71   	4.1056    	-138.340332 
 72   	4.1642    	-137.765320 
 73   	4.2229    	-136.615295 
 74   	4.2815    	-136.184082 
 75   	4.3402    	-135.824707 
 76   	4.3988    	-136.615295 
 77   	4.4575    	-137.549683 
 78   	4.5161    	-137.405945 
 79   	4.5748    	-137.693420 
 80   	4.6334    	-138.052795 
 81   	4.6921    	-136.759033 
 82   	4.7507    	-136.902832 
 83   	4.8094    	-136.615295 
 84   	4.8680    	-137.334045 
 85   	4.9267    	-137.334045 
 86   	4.9853    	-137.621582 
 87   	5.0440    	-137.190308 
 88   	5.1026    	-136.759033 
 89   	5.1613    	-137.477783 
 90   	5.2199    	-136.759033 
 91   	5.2786    	-137.046570 
 92   	5.3372    	-138.412170 
 93   	5.3959    	-138.843430 
