
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-137.621582 
 2    	0.0587    	-138.124695 
 3    	0.1173    	-137.837158 
 4    	0.1760    	-137.765320 
 5    	0.2346    	-137.909058 
 6    	0.2933    	-137.190308 
 7    	0.3519    	-137.118408 
 8    	0.4106    	-137.190308 
 9    	0.4692    	-137.909058 
 10   	0.5279    	-138.124695 
 11   	0.5865    	-137.980957 
 12   	0.6452    	-137.693420 
 13   	0.7038    	-137.693420 
 14   	0.7625    	-137.909058 
 15   	0.8211    	-138.340332 
 16   	0.8798    	-138.268433 
 17   	0.9384    	-138.484070 
 18   	0.9971    	-139.130920 
 19   	1.0557    	-138.843430 
 20   	1.1144    	-138.412170 
 21   	1.1730    	-138.771545 
 22   	1.2317    	-138.196533 
 23   	1.2903    	-138.340332 
 24   	1.3490    	-137.837158 
 25   	1.4076    	-138.340332 
 26   	1.4663    	-138.555908 
 27   	1.5249    	-138.555908 
 28   	1.5836    	-139.346558 
 29   	1.6422    	-139.202820 
 30   	1.7009    	-138.843430 
 31   	1.7595    	-138.987183 
 32   	1.8182    	-138.484070 
 33   	1.8768    	-138.843430 
 34   	1.9355    	-138.843430 
 35   	1.9941    	-138.771545 
 36   	2.0528    	-139.490295 
 37   	2.1114    	-138.771545 
 38   	2.1701    	-139.059082 
 39   	2.2287    	-139.130920 
 40   	2.2874    	-139.274658 
 41   	2.3460    	-138.987183 
 42   	2.4047    	-138.484070 
 43   	2.4633    	-138.699707 
 44   	2.5220    	-138.771545 
 45   	2.5806    	-139.274658 
 46   	2.6393    	-138.699707 
 47   	2.6979    	-139.130920 
 48   	2.7566    	-138.196533 
 49   	2.8152    	-138.268433 
 50   	2.8739    	-138.843430 
 51   	2.9326    	-139.059082 
 52   	2.9912    	-138.484070 
 53   	3.0499    	-138.412170 
 54   	3.1085    	-138.340332 
 55   	3.1672    	-138.555908 
 56   	3.2258    	-139.202820 
 57   	3.2845    	-137.765320 
 58   	3.3431    	-139.634033 
 59   	3.4018    	-138.843430 
 60   	3.4604    	-138.484070 
 61   	3.5191    	-138.412170 
 62   	3.5777    	-138.987183 
 63   	3.6364    	-138.843430 
 64   	3.6950    	-138.771545 
 65   	3.7537    	-138.196533 
 66   	3.8123    	-138.484070 
 67   	3.8710    	-139.346558 
 68   	3.9296    	-139.346558 
 69   	3.9883    	-138.627808 
 70   	4.0469    	-137.693420 
 71   	4.1056    	-138.340332 
 72   	4.1642    	-137.837158 
 73   	4.2229    	-138.052795 
 74   	4.2815    	-138.340332 
 75   	4.3402    	-138.412170 
 76   	4.3988    	-138.412170 
 77   	4.4575    	-138.340332 
 78   	4.5161    	-138.915283 
 79   	4.5748    	-138.484070 
 80   	4.6334    	-138.771545 
 81   	4.6921    	-138.340332 
 82   	4.7507    	-138.340332 
 83   	4.8094    	-138.412170 
 84   	4.8680    	-138.052795 
 85   	4.9267    	-137.909058 
 86   	4.9853    	-137.909058 
 87   	5.0440    	-138.699707 
 88   	5.1026    	-137.765320 
 89   	5.1613    	-137.909058 
 90   	5.2199    	-137.837158 
 91   	5.2786    	-138.052795 
 92   	5.3372    	-137.909058 
 93   	5.3959    	-137.621582 
