
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-4.903198   
 2    	0.0587    	-4.256287   
 3    	0.1173    	-3.968811   
 4    	0.1760    	-3.681335   
 5    	0.2346    	-3.250061   
 6    	0.2933    	-4.543823   
 7    	0.3519    	-4.256287   
 8    	0.4106    	-4.184448   
 9    	0.4692    	-3.968811   
 10   	0.5279    	-3.896912   
 11   	0.5865    	-4.256287   
 12   	0.6452    	-4.040710   
 13   	0.7038    	-4.759460   
 14   	0.7625    	-4.328186   
 15   	0.8211    	-3.681335   
 16   	0.8798    	-3.753174   
 17   	0.9384    	-3.681335   
 18   	0.9971    	-3.321960   
 19   	1.0557    	-3.825073   
 20   	1.1144    	-3.537537   
 21   	1.1730    	-4.328186   
 22   	1.2317    	-3.753174   
 23   	1.2903    	-4.040710   
 24   	1.3490    	-3.825073   
 25   	1.4076    	-4.975037   
 26   	1.4663    	-4.256287   
 27   	1.5249    	-3.681335   
 28   	1.5836    	-3.393799   
 29   	1.6422    	-4.256287   
 30   	1.7009    	-4.687561   
 31   	1.7595    	-3.681335   
 32   	1.8182    	-3.393799   
 33   	1.8768    	-3.968811   
 34   	1.9355    	-3.250061   
 35   	1.9941    	-3.537537   
 36   	2.0528    	-3.465698   
 37   	2.1114    	-4.256287   
 38   	2.1701    	-3.178162   
 39   	2.2287    	-4.543823   
 40   	2.2874    	-4.328186   
 41   	2.3460    	-4.184448   
 42   	2.4047    	-4.328186   
 43   	2.4633    	-3.896912   
 44   	2.5220    	-3.753174   
 45   	2.5806    	-3.681335   
 46   	2.6393    	-3.968811   
 47   	2.6979    	-3.537537   
 48   	2.7566    	-3.753174   
 49   	2.8152    	-3.681335   
 50   	2.8739    	-4.256287   
 51   	2.9326    	-4.256287   
 52   	2.9912    	-4.040710   
 53   	3.0499    	-4.543823   
 54   	3.1085    	-4.040710   
 55   	3.1672    	-4.184448   
 56   	3.2258    	-4.471924   
 57   	3.2845    	-3.465698   
 58   	3.3431    	-3.753174   
 59   	3.4018    	-4.040710   
 60   	3.4604    	-2.962585   
 61   	3.5191    	-3.825073   
 62   	3.5777    	-2.890686   
 63   	3.6364    	-2.890686   
 64   	3.6950    	-3.034424   
 65   	3.7537    	-2.818786   
 66   	3.8123    	-2.315674   
 67   	3.8710    	-2.746948   
 68   	3.9296    	-2.818786   
 69   	3.9883    	-2.962585   
 70   	4.0469    	-3.034424   
 71   	4.1056    	-3.896912   
 72   	4.1642    	-4.400085   
 73   	4.2229    	-3.825073   
 74   	4.2815    	-4.040710   
 75   	4.3402    	-4.615662   
 76   	4.3988    	-3.250061   
 77   	4.4575    	-3.465698   
 78   	4.5161    	-2.171936   
 79   	4.5748    	-1.453186   
 80   	4.6334    	-1.956299   
 81   	4.6921    	-2.100037   
 82   	4.7507    	-2.387573   
 83   	4.8094    	-3.106323   
 84   	4.8680    	-2.531311   
 85   	4.9267    	-1.525085   
 86   	4.9853    	-2.315674   
 87   	5.0440    	-3.034424   
 88   	5.1026    	-3.465698   
 89   	5.1613    	-2.818786   
 90   	5.2199    	-3.178162   
 91   	5.2786    	-2.962585   
 92   	5.3372    	-3.034424   
 93   	5.3959    	-2.675049   
