
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-0.061218   
 2    	0.0489    	0.026367    
 3    	0.0978    	0.111755    
 4    	0.1466    	0.217285    
 5    	0.1955    	0.230774    
 6    	0.2444    	0.260010    
 7    	0.2933    	0.300415    
 8    	0.3421    	0.210571    
 9    	0.3910    	0.176880    
 10   	0.4399    	0.107239    
 11   	0.4888    	0.215088    
 12   	0.5376    	0.075806    
 13   	0.5865    	-0.016296   
 14   	0.6354    	-0.009521   
 15   	0.6843    	0.111755    
 16   	0.7331    	-0.016296   
 17   	0.7820    	0.006165    
 18   	0.8309    	-0.020752   
 19   	0.8798    	0.030884    
 20   	0.9286    	0.057861    
 21   	0.9775    	0.035400    
 22   	1.0264    	0.100525    
 23   	1.0753    	0.026367    
 24   	1.1241    	0.125244    
 25   	1.1730    	0.131958    
 26   	1.2219    	0.273438    
 27   	1.2708    	0.179138    
 28   	1.3196    	0.134216    
 29   	1.3685    	-0.083679   
 30   	1.4174    	0.120728    
 31   	1.4663    	0.210571    
 32   	1.5152    	0.104980    
 33   	1.5640    	0.244263    
 34   	1.6129    	0.298157    
 35   	1.6618    	0.356567    
 36   	1.7107    	0.174622    
 37   	1.7595    	0.194824    
 38   	1.8084    	0.388000    
 39   	1.8573    	0.329590    
 40   	1.9062    	0.318359    
 41   	1.9550    	0.208313    
 42   	2.0039    	0.102783    
 43   	2.0528    	0.046631    
 44   	2.1017    	0.069092    
 45   	2.1505    	0.176880    
 46   	2.1994    	0.282471    
 47   	2.2483    	0.419434    
 48   	2.2972    	0.262207    
 49   	2.3460    	0.307129    
 50   	2.3949    	0.399231    
 51   	2.4438    	0.500305    
 52   	2.4927    	0.379028    
 53   	2.5415    	0.423950    
 54   	2.5904    	0.421692    
 55   	2.6393    	0.327393    
 56   	2.6882    	0.273438    
 57   	2.7370    	0.423950    
 58   	2.7859    	0.417236    
 59   	2.8348    	0.471130    
 60   	2.8837    	0.441895    
 61   	2.9326    	0.309387    
 62   	2.9814    	0.385742    
 63   	3.0303    	0.396973    
 64   	3.0792    	0.260010    
 65   	3.1281    	0.174622    
 66   	3.1769    	0.138672    
 67   	3.2258    	0.021912    
 68   	3.2747    	0.127441    
 69   	3.3236    	0.140930    
 70   	3.3724    	0.039856    
 71   	3.4213    	0.114014    
 72   	3.4702    	0.136475    
 73   	3.5191    	0.280212    
 74   	3.5679    	0.118469    
 75   	3.6168    	0.062317    
 76   	3.6657    	0.093750    
 77   	3.7146    	0.266724    
 78   	3.7634    	0.242004    
 79   	3.8123    	0.208313    
 80   	3.8612    	0.286926    
 81   	3.9101    	0.210571    
 82   	3.9589    	0.325134    
 83   	4.0078    	0.498047    
 84   	4.0567    	0.513794    
 85   	4.1056    	0.457642    
 86   	4.1544    	0.542969    
 87   	4.2033    	0.482361    
 88   	4.2522    	0.473389    
 89   	4.3011    	0.648560    
 90   	4.3500    	0.527283    
 91   	4.3988    	0.567688    
 92   	4.4477    	0.702454    
 93   	4.4966    	0.671021    
 94   	4.5455    	0.648560    
 95   	4.5943    	0.614868    
 96   	4.6432    	0.628357    
 97   	4.6921    	0.585693    
 98   	4.7410    	0.790039    
