
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-22.492920  
 2    	0.0489    	-22.432312  
 3    	0.0978    	-22.564819  
 4    	0.1466    	-22.735535  
 5    	0.1955    	-22.782715  
 6    	0.2444    	-22.679382  
 7    	0.2933    	-22.690613  
 8    	0.3421    	-22.659180  
 9    	0.3910    	-22.771484  
 10   	0.4399    	-22.823120  
 11   	0.4888    	-22.713074  
 12   	0.5376    	-22.814148  
 13   	0.5865    	-22.818604  
 14   	0.6354    	-22.634460  
 15   	0.6843    	-22.722046  
 16   	0.7331    	-22.814148  
 17   	0.7820    	-22.800659  
 18   	0.8309    	-22.787170  
 19   	0.8798    	-22.746765  
 20   	0.9286    	-22.708557  
 21   	0.9775    	-22.784912  
 22   	1.0264    	-22.820862  
 23   	1.0753    	-22.890503  
 24   	1.1241    	-22.906250  
 25   	1.1730    	-22.863525  
 26   	1.2219    	-22.892761  
 27   	1.2708    	-22.766968  
 28   	1.3196    	-22.764709  
 29   	1.3685    	-22.850098  
 30   	1.4174    	-22.811890  
 31   	1.4663    	-22.757996  
 32   	1.5152    	-22.798401  
 33   	1.5640    	-22.739990  
 34   	1.6129    	-22.690613  
 35   	1.6618    	-22.616455  
 36   	1.7107    	-22.832092  
 37   	1.7595    	-22.701843  
 38   	1.8084    	-22.778196  
 39   	1.8573    	-22.789429  
 40   	1.9062    	-22.706299  
 41   	1.9550    	-22.713074  
 42   	2.0039    	-22.677124  
 43   	2.0528    	-22.533386  
 44   	2.1017    	-22.600769  
 45   	2.1505    	-22.591797  
 46   	2.1994    	-22.562561  
 47   	2.2483    	-22.495178  
 48   	2.2972    	-22.452515  
 49   	2.3460    	-22.360413  
 50   	2.3949    	-22.569336  
 51   	2.4438    	-22.722046  
 52   	2.4927    	-22.618713  
 53   	2.5415    	-22.652405  
 54   	2.5904    	-22.708557  
 55   	2.6393    	-22.715332  
 56   	2.6882    	-22.780457  
 57   	2.7370    	-22.645691  
 58   	2.7859    	-22.818604  
 59   	2.8348    	-22.704102  
 60   	2.8837    	-22.715332  
 61   	2.9326    	-22.524414  
 62   	2.9814    	-22.609741  
 63   	3.0303    	-22.533386  
 64   	3.0792    	-22.535645  
 65   	3.1281    	-22.731018  
 66   	3.1769    	-22.519897  
 67   	3.2258    	-22.432312  
 68   	3.2747    	-22.486206  
 69   	3.3236    	-22.531128  
 70   	3.3724    	-22.495178  
 71   	3.4213    	-22.515381  
 72   	3.4702    	-22.656921  
 73   	3.5191    	-22.609741  
 74   	3.5679    	-22.513184  
 75   	3.6168    	-22.454773  
 76   	3.6657    	-22.373901  
 77   	3.7146    	-22.468262  
 78   	3.7634    	-22.452515  
 79   	3.8123    	-22.430054  
 80   	3.8612    	-22.344727  
 81   	3.9101    	-22.528870  
 82   	3.9589    	-22.506409  
 83   	4.0078    	-22.663635  
 84   	4.0567    	-22.447998  
 85   	4.1056    	-22.311035  
 86   	4.1544    	-22.180725  
 87   	4.2033    	-22.362671  
 88   	4.2522    	-22.340210  
 89   	4.3011    	-22.378418  
 90   	4.3500    	-22.351440  
 91   	4.3988    	-22.306519  
 92   	4.4477    	-22.252625  
 93   	4.4966    	-22.315491  
