
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-19.355164  
 2    	0.0489    	-19.265320  
 3    	0.0978    	-19.368652  
 4    	0.1466    	-19.395569  
 5    	0.1955    	-19.251831  
 6    	0.2444    	-19.316956  
 7    	0.2933    	-19.534851  
 8    	0.3421    	-19.494385  
 9    	0.3910    	-19.469727  
 10   	0.4399    	-19.635925  
 11   	0.4888    	-19.570799  
 12   	0.5376    	-19.667358  
 13   	0.5865    	-19.788635  
 14   	0.6354    	-19.853760  
 15   	0.6843    	-19.725769  
 16   	0.7331    	-19.743713  
 17   	0.7820    	-19.745972  
 18   	0.8309    	-19.853760  
 19   	0.8798    	-19.698792  
 20   	0.9286    	-19.674072  
 21   	0.9775    	-19.651611  
 22   	1.0264    	-19.624695  
 23   	1.0753    	-19.528076  
 24   	1.1241    	-19.386597  
 25   	1.1730    	-19.433777  
 26   	1.2219    	-19.561768  
 27   	1.2708    	-19.606689  
 28   	1.3196    	-19.498901  
 29   	1.3685    	-19.552795  
 30   	1.4174    	-19.588745  
 31   	1.4663    	-19.528076  
 32   	1.5152    	-19.566284  
 33   	1.5640    	-19.543823  
 34   	1.6129    	-19.595459  
 35   	1.6618    	-19.649414  
 36   	1.7107    	-19.577515  
 37   	1.7595    	-19.501160  
 38   	1.8084    	-19.440491  
 39   	1.8573    	-19.564026  
 40   	1.9062    	-19.615723  
 41   	1.9550    	-19.732483  
 42   	2.0039    	-19.683105  
 43   	2.0528    	-19.793152  
 44   	2.1017    	-19.718994  
 45   	2.1505    	-19.635925  
 46   	2.1994    	-19.469727  
 47   	2.2483    	-19.460693  
 48   	2.2972    	-19.647156  
 49   	2.3460    	-19.665100  
 50   	2.3949    	-19.882996  
 51   	2.4438    	-19.611206  
 52   	2.4927    	-19.710022  
 53   	2.5415    	-19.591003  
 54   	2.5904    	-19.743713  
 55   	2.6393    	-19.669617  
 56   	2.6882    	-19.680847  
 57   	2.7370    	-19.665100  
 58   	2.7859    	-19.546082  
 59   	2.8348    	-19.635925  
 60   	2.8837    	-19.582031  
 61   	2.9326    	-19.676331  
 62   	2.9814    	-19.629150  
 63   	3.0303    	-19.732483  
 64   	3.0792    	-19.772949  
 65   	3.1281    	-19.514648  
 66   	3.1769    	-19.752686  
 67   	3.2258    	-19.595459  
 68   	3.2747    	-19.737000  
 69   	3.3236    	-19.572998  
 70   	3.3724    	-19.516846  
 71   	3.4213    	-19.629150  
 72   	3.4702    	-19.763916  
 73   	3.5191    	-19.611206  
 74   	3.5679    	-19.701050  
 75   	3.6168    	-19.698792  
 76   	3.6657    	-19.730225  
 77   	3.7146    	-19.754944  
 78   	3.7634    	-19.593262  
 79   	3.8123    	-19.523621  
 80   	3.8612    	-19.653870  
 81   	3.9101    	-19.537109  
 82   	3.9589    	-19.694336  
 83   	4.0078    	-19.546082  
 84   	4.0567    	-19.541565  
 85   	4.1056    	-19.579773  
 86   	4.1544    	-19.617920  
 87   	4.2033    	-19.507874  
 88   	4.2522    	-19.557312  
 89   	4.3011    	-19.370850  
 90   	4.3500    	-19.229370  
 91   	4.3988    	-19.350647  
 92   	4.4477    	-19.272034  
 93   	4.4966    	-19.236084  
