
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-18.944092  
 2    	0.0489    	-18.932861  
 3    	0.0978    	-18.896973  
 4    	0.1466    	-19.007019  
 5    	0.1955    	-19.036194  
 6    	0.2444    	-18.982300  
 7    	0.2933    	-18.946350  
 8    	0.3421    	-19.024963  
 9    	0.3910    	-18.948608  
 10   	0.4399    	-18.919434  
 11   	0.4888    	-18.917175  
 12   	0.5376    	-19.007019  
 13   	0.5865    	-18.793640  
 14   	0.6354    	-18.672363  
 15   	0.6843    	-18.728516  
 16   	0.7331    	-18.719482  
 17   	0.7820    	-18.634155  
 18   	0.8309    	-18.829590  
 19   	0.8798    	-18.975586  
 20   	0.9286    	-19.038452  
 21   	0.9775    	-19.135010  
 22   	1.0264    	-19.024963  
 23   	1.0753    	-18.959839  
 24   	1.1241    	-18.982300  
 25   	1.1730    	-18.901428  
 26   	1.2219    	-18.991270  
 27   	1.2708    	-19.148499  
 28   	1.3196    	-19.040710  
 29   	1.3685    	-19.085632  
 30   	1.4174    	-19.099121  
 31   	1.4663    	-18.932861  
 32   	1.5152    	-18.944092  
 33   	1.5640    	-18.937378  
 34   	1.6129    	-19.004761  
 35   	1.6618    	-18.959839  
 36   	1.7107    	-18.867737  
 37   	1.7595    	-18.946350  
 38   	1.8084    	-18.984558  
 39   	1.8573    	-18.894714  
 40   	1.9062    	-19.128296  
 41   	1.9550    	-19.056396  
 42   	2.0039    	-19.024963  
 43   	2.0528    	-18.973328  
 44   	2.1017    	-19.060913  
 45   	2.1505    	-19.105835  
 46   	2.1994    	-18.912659  
 47   	2.2483    	-18.993530  
 48   	2.2972    	-19.015991  
 49   	2.3460    	-19.007019  
 50   	2.3949    	-19.200195  
 51   	2.4438    	-19.139526  
 52   	2.4927    	-19.166504  
 53   	2.5415    	-19.110352  
 54   	2.5904    	-19.141785  
 55   	2.6393    	-19.094604  
 56   	2.6882    	-19.135010  
 57   	2.7370    	-19.260803  
 58   	2.7859    	-19.215881  
 59   	2.8348    	-19.078857  
 60   	2.8837    	-19.002502  
 61   	2.9326    	-19.004761  
 62   	2.9814    	-18.941895  
 63   	3.0303    	-18.775635  
 64   	3.0792    	-18.798096  
 65   	3.1281    	-18.948608  
 66   	3.1769    	-18.955322  
 67   	3.2258    	-19.029480  
 68   	3.2747    	-19.105835  
 69   	3.3236    	-19.081116  
 70   	3.3724    	-19.081116  
 71   	3.4213    	-19.029480  
 72   	3.4702    	-19.033936  
 73   	3.5191    	-19.036194  
 74   	3.5679    	-18.993530  
 75   	3.6168    	-18.962097  
 76   	3.6657    	-18.838562  
 77   	3.7146    	-18.820557  
 78   	3.7634    	-18.896973  
 79   	3.8123    	-18.861023  
 80   	3.8612    	-18.923889  
 81   	3.9101    	-18.957581  
 82   	3.9589    	-18.932861  
 83   	4.0078    	-19.011475  
 84   	4.0567    	-18.883484  
 85   	4.1056    	-18.975586  
 86   	4.1544    	-18.930664  
 87   	4.2033    	-19.083374  
 88   	4.2522    	-18.910400  
 89   	4.3011    	-18.872253  
 90   	4.3500    	-18.948608  
 91   	4.3988    	-18.838562  
 92   	4.4477    	-18.993530  
 93   	4.4966    	-19.092346  
