
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-18.966553  
 2    	0.0489    	-18.917175  
 3    	0.0978    	-19.045166  
 4    	0.1466    	-19.027222  
 5    	0.1955    	-19.058655  
 6    	0.2444    	-19.051941  
 7    	0.2933    	-18.980042  
 8    	0.3421    	-18.858765  
 9    	0.3910    	-19.033936  
 10   	0.4399    	-19.076660  
 11   	0.4888    	-19.031738  
 12   	0.5376    	-18.986816  
 13   	0.5865    	-19.022705  
 14   	0.6354    	-19.170959  
 15   	0.6843    	-19.020508  
 16   	0.7331    	-18.980042  
 17   	0.7820    	-18.964355  
 18   	0.8309    	-19.000244  
 19   	0.8798    	-19.096863  
 20   	0.9286    	-18.887939  
 21   	0.9775    	-18.899170  
 22   	1.0264    	-18.993530  
 23   	1.0753    	-18.861023  
 24   	1.1241    	-19.022705  
 25   	1.1730    	-19.085632  
 26   	1.2219    	-19.029480  
 27   	1.2708    	-18.890198  
 28   	1.3196    	-18.800354  
 29   	1.3685    	-18.876709  
 30   	1.4174    	-18.910400  
 31   	1.4663    	-18.755432  
 32   	1.5152    	-18.899170  
 33   	1.5640    	-18.649902  
 34   	1.6129    	-18.854248  
 35   	1.6618    	-18.766663  
 36   	1.7107    	-18.867737  
 37   	1.7595    	-18.845276  
 38   	1.8084    	-18.840820  
 39   	1.8573    	-18.645386  
 40   	1.9062    	-18.629639  
 41   	1.9550    	-18.663330  
 42   	2.0039    	-18.656616  
 43   	2.0528    	-18.777893  
 44   	2.1017    	-18.845276  
 45   	2.1505    	-18.802612  
 46   	2.1994    	-18.791382  
 47   	2.2483    	-18.582520  
 48   	2.2972    	-18.780151  
 49   	2.3460    	-18.735229  
 50   	2.3949    	-18.694824  
 51   	2.4438    	-18.688049  
 52   	2.4927    	-18.730713  
 53   	2.5415    	-18.631897  
 54   	2.5904    	-18.553284  
 55   	2.6393    	-18.542053  
 56   	2.6882    	-18.589233  
 57   	2.7370    	-18.548828  
 58   	2.7859    	-18.744202  
 59   	2.8348    	-18.699280  
 60   	2.8837    	-18.937378  
 61   	2.9326    	-18.773438  
 62   	2.9814    	-18.932861  
 63   	3.0303    	-18.843018  
 64   	3.0792    	-18.896973  
 65   	3.1281    	-18.645386  
 66   	3.1769    	-18.602722  
 67   	3.2258    	-18.586975  
 68   	3.2747    	-18.530823  
 69   	3.3236    	-18.555542  
 70   	3.3724    	-18.535339  
 71   	3.4213    	-18.573486  
 72   	3.4702    	-18.649902  
 73   	3.5191    	-18.764404  
 74   	3.5679    	-18.627441  
 75   	3.6168    	-18.735229  
 76   	3.6657    	-18.622925  
 77   	3.7146    	-18.768921  
 78   	3.7634    	-18.634155  
 79   	3.8123    	-18.730713  
 80   	3.8612    	-18.777893  
 81   	3.9101    	-18.874512  
 82   	3.9589    	-18.737488  
 83   	4.0078    	-18.674561  
 84   	4.0567    	-18.656616  
 85   	4.1056    	-18.712769  
 86   	4.1544    	-18.786865  
 87   	4.2033    	-18.649902  
 88   	4.2522    	-18.681335  
 89   	4.3011    	-18.566772  
 90   	4.3500    	-18.620667  
 91   	4.3988    	-18.656616  
 92   	4.4477    	-18.438721  
 93   	4.4966    	-18.346680  
