
      	X(nS)     	Ch1(mV)      


 1    	0.0000    	-37.004944  
 2    	0.0489    	-37.099304  
 3    	0.0978    	-37.175659  
 4    	0.1466    	-37.182373  
 5    	0.1955    	-37.312683  
 6    	0.2444    	-37.409241  
 7    	0.2933    	-37.535034  
 8    	0.3421    	-37.570984  
 9    	0.3910    	-37.460938  
 10   	0.4399    	-37.503601  
 11   	0.4888    	-37.445190  
 12   	0.5376    	-37.476624  
 13   	0.5865    	-37.454163  
 14   	0.6354    	-37.456421  
 15   	0.6843    	-37.442932  
 16   	0.7331    	-37.400269  
 17   	0.7820    	-37.411499  
 18   	0.8309    	-37.429443  
 19   	0.8798    	-37.451904  
 20   	0.9286    	-37.476624  
 21   	0.9775    	-37.460938  
 22   	1.0264    	-37.402527  
 23   	1.0753    	-37.463135  
 24   	1.1241    	-37.517090  
 25   	1.1730    	-37.406982  
 26   	1.2219    	-37.503601  
 27   	1.2708    	-37.472168  
 28   	1.3196    	-37.357605  
 29   	1.3685    	-37.539551  
 30   	1.4174    	-37.532776  
 31   	1.4663    	-37.368835  
 32   	1.5152    	-37.548523  
 33   	1.5640    	-37.292480  
 34   	1.6129    	-37.294678  
 35   	1.6618    	-37.229553  
 36   	1.7107    	-37.247559  
 37   	1.7595    	-37.200378  
 38   	1.8084    	-37.330627  
 39   	1.8573    	-37.225098  
 40   	1.9062    	-37.276733  
 41   	1.9550    	-37.299194  
 42   	2.0039    	-37.162170  
 43   	2.0528    	-37.141968  
 44   	2.1017    	-37.373291  
 45   	2.1505    	-37.330627  
 46   	2.1994    	-37.252014  
 47   	2.2483    	-37.204834  
 48   	2.2972    	-37.256531  
 49   	2.3460    	-37.310425  
 50   	2.3949    	-37.406982  
 51   	2.4438    	-37.429443  
 52   	2.4927    	-37.377808  
 53   	2.5415    	-37.393555  
 54   	2.5904    	-37.283447  
 55   	2.6393    	-37.296936  
 56   	2.6882    	-37.162170  
 57   	2.7370    	-37.256531  
 58   	2.7859    	-37.144226  
 59   	2.8348    	-37.225098  
 60   	2.8837    	-37.220581  
 61   	2.9326    	-37.353088  
 62   	2.9814    	-37.076843  
 63   	3.0303    	-37.207092  
 64   	3.0792    	-37.141968  
 65   	3.1281    	-37.097046  
 66   	3.1769    	-37.009460  
 67   	3.2258    	-37.141968  
 68   	3.2747    	-37.231812  
 69   	3.3236    	-37.274475  
 70   	3.3724    	-37.256531  
 71   	3.4213    	-37.411499  
 72   	3.4702    	-37.332886  
 73   	3.5191    	-37.191406  
 74   	3.5679    	-37.213867  
 75   	3.6168    	-37.207092  
 76   	3.6657    	-37.220581  
 77   	3.7146    	-37.081299  
 78   	3.7634    	-37.180176  
 79   	3.8123    	-37.227295  
 80   	3.8612    	-37.314941  
 81   	3.9101    	-37.472168  
 82   	3.9589    	-37.562012  
 83   	4.0078    	-37.530518  
 84   	4.0567    	-37.348633  
 85   	4.1056    	-37.195862  
 86   	4.1544    	-37.097046  
 87   	4.2033    	-37.175659  
 88   	4.2522    	-37.110535  
 89   	4.3011    	-37.074585  
 90   	4.3500    	-37.043152  
 91   	4.3988    	-36.957764  
 92   	4.4477    	-37.141968  
 93   	4.4966    	-37.177917  
